Date,Greed
2023-05-08,60
2023-05-09,51
2023-05-10,52
2023-05-11,52
2023-05-12,49
2023-05-13,48
2023-05-14,48
2023-05-15,50
2023-05-16,54
2023-05-17,50
2023-05-18,51
2023-05-19,48
2023-05-20,48
2023-05-21,52
2023-05-22,49
2023-05-23,50
2023-05-24,50
2023-05-25,51
2023-05-26,49
2023-05-27,48
2023-05-28,50
2023-05-29,52
2023-05-30,51
2023-05-31,51
2023-06-01,52
2023-06-02,50
2023-06-03,53
2023-06-04,52
2023-06-05,53
2023-06-06,44
2023-06-07,53
2023-06-08,50
2023-06-09,50
2023-06-10,49
2023-06-11,47
2023-06-12,47
2023-06-13,45
2023-06-14,46
2023-06-15,41
2023-06-16,47
2023-06-17,47
2023-06-18,49
2023-06-19,47
2023-06-20,49
2023-06-21,59
2023-06-22,65
2023-06-23,65
2023-06-24,62
2023-06-25,64
2023-06-26,55
2023-06-27,59
2023-06-28,62
2023-06-29,54
2023-06-30,56
